B00, 185
B01, Trade, 4230.000, 231, S01, B01, 1
B01, Trade, 4244.000, 95, S00, B01, 1
B01, Trade, 4260.286, 101, B01, S01, 1
B01, Trade, 4289.857, 100, B01, S01, 1
B01, Trade, 4350.714, 103, B01, S00, 1
B01, Trade, 4353.429, 179, B01, B00, 1
B01, Trade, 4398.143, 97, B01, S01, 1
B01, Trade, 4425.857, 95, B01, S00, 1
B01, Trade, 4426.000, 316, B00, B01, 1
B01, Trade, 4426.429, 412, B01, B00, 1
B01, Trade, 4443.000, 241, B01, S02, 1
B01, Trade, 4474.000, 97, B01, B02, 1
B01, Trade, 4487.857, 97, B01, S00, 1
B01, Trade, 4489.571, 113, S02, B01, 1
B01, Trade, 4493.000, 199, B01, P00, 1
B01, Trade, 4502.429, 174, B01, S02, 1
B01, Trade, 4503.571, 264, B01, S02, 1
B01, Trade, 4504.857, 299, B00, B01, 1
B01, Trade, 4509.714, 314, B01, B00, 1
B01, Trade, 4516.571, 340, B01, S00, 1
B01, Trade, 4531.857, 177, B01, S00, 1
B01, Trade, 4532.000, 154, S00, B01, 1
B01, Trade, 4563.857, 104, B01, B02, 1
B01, Trade, 4624.143, 104, B01, S00, 1
B01, Trade, 4683.857, 86, S00, B01, 1
B01, Trade, 4698.143, 114, B01, S00, 1
B01, Trade, 4744.429, 98, B01, S01, 1
B01, Trade, 4745.429, 411, B01, B02, 1
B01, Trade, 4747.429, 471, B02, B01, 1
B01, Trade, 4748.143, 221, B02, B01, 1
B01, Trade, 4748.429, 95, B00, B01, 1
B01, Trade, 4759.000, 251, B01, S02, 1
B01, Trade, 4789.714, 88, S00, B01, 1
B01, Trade, 4824.143, 105, B01, S01, 1
B01, Trade, 4834.429, 148, B01, S00, 1
B01, Trade, 4835.143, 95, S01, B01, 1
B01, Trade, 4851.000, 252, B01, S01, 1
B01, Trade, 4865.000, 284, B01, S02, 1
B01, Trade, 4896.714, 101, B01, S00, 1
B01, Trade, 4910.286, 95, S01, B01, 1
B01, Trade, 4929.000, 306, B01, S00, 1
B01, Trade, 4972.857, 97, B01, B02, 1
B02, 347
B02, Trade, 16.429, 105, B02, S00, 1
B02, Trade, 17.286, 296, S02, B02, 1
B02, Trade, 17.857, 94, B00, B02, 1
B02, Trade, 18.143, 81, B02, S00, 1
B02, Trade, 30.143, 277, B02, S01, 1
B02, Trade, 30.857, 92, S00, B02, 1
B02, Trade, 33.000, 128, B02, S01, 1
B02, Trade, 61.714, 108, S02, B02, 1
B02, Trade, 62.429, 128, B02, B01, 1
B02, Trade, 106.429, 109, B02, S02, 1
B02, Trade, 107.000, 245, S01, B02, 1
B02, Trade, 108.286, 204, S02, B02, 1
B02, Trade, 151.571, 110, B02, S00, 1
B02, Trade, 181.714, 110, B02, S02, 1
B02, Trade, 212.714, 108, S02, B02, 1
B02, Trade, 213.857, 192, B02, B01, 1
B02, Trade, 242.143, 211, B02, S01, 1
B02, Trade, 244.571, 105, B01, B02, 1
B02, Trade, 272.571, 98, S01, B02, 1
B02, Trade, 289.714, 109, B02, S01, 1
B02, Trade, 317.714, 110, B02, S01, 1
B02, Trade, 363.000, 107, B02, S01, 1
B02, Trade, 363.143, 110, S02, B02, 1
B02, Trade, 394.000, 112, S02, B02, 1
B02, Trade, 394.286, 361, B02, B02, 1
B02, Trade, 394.286, 361, B02, B02, 1
B02, Trade, 395.857, 278, B02, P00, 1
B02, Trade, 398.000, 230, B02, S01, 1
B02, Trade, 411.286, 92, B02, S00, 1
B02, Trade, 411.571, 95, B02, P00, 1
B02, Trade, 412.143, 403, S02, B02, 1
B02, Trade, 423.714, 170, B02, S00, 1
B02, Trade, 499.000, 107, B02, S01, 1
B02, Trade, 499.143, 181, B00, B02, 1
B02, Trade, 500.286, 282, S01, B02, 1
B02, Trade, 514.286, 112, B02, S00, 1
B02, Trade, 606.429, 106, B02, S02, 1
B02, Trade, 635.714, 107, B02, S00, 1
B02, Trade, 650.571, 101, S01, B02, 1
B02, Trade, 665.000, 141, B02, S02, 1
B02, Trade, 671.429, 208, B02, S01, 1
B02, Trade, 672.286, 114, B02, P00, 1
B02, Trade, 680.143, 112, B02, P00, 1
B02, Trade, 681.857, 71, B00, B02, 1
B02, Trade, 725.857, 100, S01, B02, 1
B02, Trade, 728.286, 152, B01, B02, 1
B02, Trade, 730.857, 284, S02, B02, 1
B02, Trade, 731.429, 272, S00, B02, 1
B02, Trade, 756.000, 112, B02, S01, 1
B02, Trade, 771.714, 113, B02, S02, 1
B02, Trade, 786.286, 153, B02, S00, 1
B02, Trade, 816.714, 108, B02, S01, 1
B02, Trade, 821.000, 115, S02, B02, 1
B02, Trade, 822.286, 181, B01, B02, 1
B02, Trade, 823.571, 132, B02, S02, 1
B02, Trade, 832.714, 186, B02, B00, 1
B02, Trade, 836.143, 190, B02, S02, 1
B02, Trade, 837.429, 315, B00, B02, 1
B02, Trade, 851.000, 112, B02, S00, 1
B02, Trade, 877.571, 106, B02, S01, 1
B02, Trade, 895.143, 253, B02, B01, 1
B02, Trade, 907.857, 367, B02, S01, 1
B02, Trade, 953.429, 110, B02, S02, 1
B02, Trade, 955.286, 103, B01, B02, 1
B02, Trade, 968.143, 58, B02, S01, 1
B02, Trade, 984.429, 111, B02, S00, 1
B02, Trade, 985.286, 227, S00, B02, 1
B02, Trade, 986.571, 288, B01, B02, 1
B02, Trade, 987.143, 353, B02, P00, 1
B02, Trade, 988.143, 398, B00, B02, 1
B02, Trade, 989.571, 352, B01, B02, 1
B02, Trade, 1060.286, 109, B02, S00, 1
B02, Trade, 1061.429, 261, B02, P00, 1
B02, Trade, 1062.000, 392, B00, B02, 1
B02, Trade, 1088.714, 98, S01, B02, 1
B02, Trade, 1090.143, 102, S01, B02, 1
B02, Trade, 1090.429, 206, B02, B02, 1
B02, Trade, 1090.429, 206, B02, B02, 1
B02, Trade, 1123.000, 149, B02, S00, 1
B02, Trade, 1126.571, 42, B02, P00, 1
B02, Trade, 1131.286, 91, B02, P00, 1
B02, Trade, 1150.143, 109, B02, S00, 1
B02, Trade, 1165.286, 114, S02, B02, 1
B02, Trade, 1166.571, 172, S00, B02, 1
B02, Trade, 1166.714, 215, B02, B02, 1
B02, Trade, 1166.714, 215, B02, B02, 1
B02, Trade, 1179.714, 374, B02, S01, 1
B02, Trade, 1198.714, 114, B02, S02, 1
B02, Trade, 1210.143, 226, B02, S01, 1
B02, Trade, 1210.571, 99, B01, B02, 1
B02, Trade, 1240.143, 112, B02, S02, 1
B02, Trade, 1242.714, 106, S02, B02, 1
B02, Trade, 1243.143, 175, S00, B02, 1
B02, Trade, 1245.286, 86, B00, B02, 1
B02, Trade, 1247.286, 374, B01, B02, 1
B02, Trade, 1249.000, 218, B02, S00, 1
B02, Trade, 1250.714, 286, B02, P00, 1
B02, Trade, 1251.429, 198, S00, B02, 1
B02, Trade, 1255.714, 174, B02, S00, 1
B02, Trade, 1301.857, 109, S02, B02, 1
B02, Trade, 1302.429, 183, B02, B02, 1
B02, Trade, 1302.429, 183, B02, B02, 1
B02, Trade, 1331.143, 108, B02, S00, 1
B02, Trade, 1334.714, 106, B02, S00, 1
B02, Trade, 1337.429, 242, B02, S00, 1
B02, Trade, 1337.714, 293, P00, B02, 1
B02, Trade, 1346.286, 258, B02, S00, 1
B02, Trade, 1347.143, 235, B02, P00, 1
B02, Trade, 1362.571, 105, B02, S01, 1
B02, Trade, 1377.000, 223, B02, S01, 1
B02, Trade, 1392.286, 106, S02, B02, 1
B02, Trade, 1393.286, 119, B02, S01, 1
