S02, Trade, 3927.571, 105, B01, S02, 1
S02, Trade, 4033.286, 110, S02, B02, 1
S02, Trade, 4122.714, 110, S02, B02, 1
S02, Trade, 4168.571, 106, S02, B02, 1
S02, Trade, 4367.571, 108, S02, B02, 1
S02, Trade, 4594.571, 110, B02, S02, 1
S02, Trade, 4714.857, 107, S02, B02, 1
S02, Trade, 4774.571, 107, S02, B02, 1
S02, Trade, 4865.714, 111, S02, B02, 1
P00, 64
P00, Trade, 514.571, 94, P00, S00, 1
P00, Trade, 620.429, 101, P00, B02, 1
P00, Trade, 816.286, 100, P00, S00, 1
P00, Trade, 1285.714, 107, P00, B02, 1
P00, Trade, 1422.000, 90, P00, S00, 1
P00, Trade, 1423.286, 97, P00, B01, 1
P00, Trade, 1619.571, 91, S00, P00, 1
P00, Trade, 1620.714, 111, B02, P00, 1
P00, Trade, 1680.000, 90, S00, P00, 1
P00, Trade, 1709.857, 97, P00, B02, 1
P00, Trade, 1953.143, 91, P00, S00, 1
P00, Trade, 1982.714, 98, P00, B02, 1
P00, Trade, 2058.286, 86, S00, P00, 1
P00, Trade, 2074.857, 95, B01, P00, 1
P00, Trade, 2088.857, 87, S00, P00, 1
P00, Trade, 2090.714, 103, B01, P00, 1
P00, Trade, 2166.429, 94, S00, P00, 1
P00, Trade, 2197.857, 103, B01, P00, 1
P00, Trade, 2285.857, 94, S00, P00, 1
P00, Trade, 2299.571, 105, B01, P00, 1
P00, Trade, 2314.857, 94, S00, P00, 1
P00, Trade, 2360.000, 101, P00, B02, 1
P00, Trade, 2375.143, 94, S00, P00, 1
P00, Trade, 2497.714, 104, B01, P00, 1
P00, Trade, 2605.429, 95, S01, P00, 1
P00, Trade, 2631.714, 104, B01, P00, 1
P00, Trade, 2662.000, 95, S00, P00, 1
P00, Trade, 2721.143, 102, P00, B02, 1
P00, Trade, 2901.714, 96, P00, S00, 1
P00, Trade, 2978.714, 105, B02, P00, 1
P00, Trade, 2993.429, 95, S01, P00, 1
P00, Trade, 3024.286, 104, B01, P00, 1
P00, Trade, 3173.429, 96, P00, S00, 1
P00, Trade, 3188.714, 110, B02, P00, 1
P00, Trade, 3265.571, 96, S01, P00, 1
P00, Trade, 3384.000, 103, P00, B02, 1
P00, Trade, 3431.286, 90, S00, P00, 1
P00, Trade, 3446.714, 105, B02, P00, 1
P00, Trade, 3459.571, 90, S00, P00, 1
P00, Trade, 3551.000, 97, P00, B02, 1
P00, Trade, 3761.429, 87, S00, P00, 1
P00, Trade, 3762.857, 103, B01, P00, 1
P00, Trade, 3837.857, 93, S00, P00, 1
P00, Trade, 3853.286, 108, B02, P00, 1
P00, Trade, 3958.000, 94, S00, P00, 1
P00, Trade, 3987.571, 108, B02, P00, 1
P00, Trade, 4032.571, 92, S00, P00, 1
P00, Trade, 4109.000, 105, B01, P00, 1
P00, Trade, 4172.000, 95, S01, P00, 1
P00, Trade, 4199.143, 107, B02, P00, 1
P00, Trade, 4365.286, 86, S00, P00, 1
P00, Trade, 4383.857, 104, B01, P00, 1
P00, Trade, 4426.286, 93, S00, P00, 1
P00, Trade, 4442.000, 106, B02, P00, 1
P00, Trade, 4518.714, 94, S00, P00, 1
P00, Trade, 4532.714, 104, B01, P00, 1
P00, Trade, 4561.857, 88, S00, P00, 1
P00, Trade, 4563.000, 97, B01, P00, 1
P00, Trade, 4592.714, 93, S00, P00, 1
P00, Trade, 4623.000, 100, P00, B01, 1
P00, Trade, 4637.857, 94, S00, P00, 1
P00, Trade, 4804.571, 113, B02, P00, 1
P00, Trade, 4809.000, 94, S00, P00, 1
P00, Trade, 4985.857, 101, P00, B02, 1
