B00, 142
B02, Trade, 539.143, 379, S01, B02, 1
B02, Trade, 553.571, 153, B02, S02, 1
B02, Trade, 554.429, 397, S00, B02, 1
B02, Trade, 556.286, 111, S02, B02, 1
B02, Trade, 575.143, 148, B02, S00, 1
B02, Trade, 582.000, 199, B02, S00, 1
B02, Trade, 590.571, 164, B02, S02, 1
B02, Trade, 591.857, 190, B02, P00, 1
B02, Trade, 624.286, 146, B02, S02, 1
B02, Trade, 673.143, 351, B02, S02, 1
B02, Trade, 696.429, 140, B02, S01, 1
B02, Trade, 703.429, 103, B02, S02, 1
B02, Trade, 704.429, 58, B00, B02, 1
B02, Trade, 726.714, 147, S02, B02, 1
B02, Trade, 727.714, 199, B00, B02, 1
B02, Trade, 729.571, 199, B02, S01, 1
B02, Trade, 730.429, 149, B02, P00, 1
B02, Trade, 757.143, 154, B02, B01, 1
B02, Trade, 759.286, 120, B02, P00, 1
